seed,defense,attack,severity,detected,aas,unweighted
7,mutable_log,replay_approval_token,3,1,0.5,0.42857142857142855
7,mutable_log,backdate_request,3,0,0.5,0.42857142857142855
7,mutable_log,swap_explanation_hash,2,0,0.5,0.42857142857142855
7,mutable_log,collude_block_signature,5,1,0.5,0.42857142857142855
7,mutable_log,revocation_race,2,0,0.5,0.42857142857142855
7,mutable_log,compromised_signer,5,0,0.5,0.42857142857142855
7,mutable_log,metadata_inference,4,1,0.5,0.42857142857142855
7,signed_chain,replay_approval_token,3,1,0.7916666666666666,0.8571428571428571
7,signed_chain,backdate_request,3,1,0.7916666666666666,0.8571428571428571
7,signed_chain,swap_explanation_hash,2,1,0.7916666666666666,0.8571428571428571
7,signed_chain,collude_block_signature,5,1,0.7916666666666666,0.8571428571428571
7,signed_chain,revocation_race,2,1,0.7916666666666666,0.8571428571428571
7,signed_chain,compromised_signer,5,0,0.7916666666666666,0.8571428571428571
7,signed_chain,metadata_inference,4,1,0.7916666666666666,0.8571428571428571
7,blockchain_style,replay_approval_token,3,1,0.7916666666666666,0.8571428571428571
7,blockchain_style,backdate_request,3,1,0.7916666666666666,0.8571428571428571
7,blockchain_style,swap_explanation_hash,2,1,0.7916666666666666,0.8571428571428571
7,blockchain_style,collude_block_signature,5,1,0.7916666666666666,0.8571428571428571
7,blockchain_style,revocation_race,2,1,0.7916666666666666,0.8571428571428571
7,blockchain_style,compromised_signer,5,0,0.7916666666666666,0.8571428571428571
7,blockchain_style,metadata_inference,4,1,0.7916666666666666,0.8571428571428571
7,abac_reexec,replay_approval_token,3,1,0.7916666666666666,0.8571428571428571
7,abac_reexec,backdate_request,3,1,0.7916666666666666,0.8571428571428571
7,abac_reexec,swap_explanation_hash,2,1,0.7916666666666666,0.8571428571428571
7,abac_reexec,collude_block_signature,5,1,0.7916666666666666,0.8571428571428571
7,abac_reexec,revocation_race,2,1,0.7916666666666666,0.8571428571428571
7,abac_reexec,compromised_signer,5,0,0.7916666666666666,0.8571428571428571
7,abac_reexec,metadata_inference,4,1,0.7916666666666666,0.8571428571428571
