source_table,metric_family,group,metric,n_seeds,seeds,mean,std,std_defined,min,max
nspi_targeted_compromised_signer_raw,targeted_sensitivity,target_scope=district|flip_fraction_requested=1.0,trusted_policy_oracle_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
nspi_targeted_compromised_signer_raw,targeted_sensitivity,target_scope=station|flip_fraction_requested=0.1,trusted_policy_oracle_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
nspi_targeted_compromised_signer_raw,targeted_sensitivity,target_scope=station|flip_fraction_requested=0.25,trusted_policy_oracle_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
nspi_targeted_compromised_signer_raw,targeted_sensitivity,target_scope=station|flip_fraction_requested=0.5,trusted_policy_oracle_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
nspi_targeted_compromised_signer_raw,targeted_sensitivity,target_scope=station|flip_fraction_requested=0.75,trusted_policy_oracle_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
nspi_targeted_compromised_signer_raw,targeted_sensitivity,target_scope=station|flip_fraction_requested=1.0,trusted_policy_oracle_detected,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=mix_high_approval_missing|num_requests=1000,cs_f25_nspi_global_detect,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=mix_high_classified_proxy|num_requests=1000,cs_f25_nspi_global_detect,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=mix_high_cross_jurisdiction|num_requests=1000,cs_f25_nspi_global_detect,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=mix_high_revoked_credential|num_requests=1000,cs_f25_nspi_global_detect,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=500,cs_f25_nspi_global_detect,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
workload_policy_stress_raw,workload_stress,arm=size_baseline|num_requests=1000,cs_f25_nspi_global_detect,5,7|21|42|99|123,1.0,0.0,True,1.0,1.0
